Carrier,Day,DepTime,Dest,Origin,Weather,Delayed
DH,THUR,1455,JFK,IAD,0,0
DH,THUR,1645,JFK,IAD,0,0
DH,THUR,1716,JFK,IAD,0,0
DH,THUR,2305,JFK,IAD,0,1
DH,THUR,1605,JFK,IAD,0,0
DH,THUR,2118,LGA,IAD,0,0
DL,THUR,1458,JFK,DCA,0,0
DL,THUR,930,LGA,DCA,0,0
DL,THUR,1230,LGA,DCA,0,0
DL,THUR,1427,LGA,DCA,0,0
DL,THUR,1730,LGA,DCA,0,0
DL,THUR,2028,LGA,DCA,0,0
MQ,THUR,1522,JFK,DCA,0,0
MQ,THUR,552,JFK,DCA,0,0
MQ,THUR,1847,JFK,DCA,0,0
MQ,THUR,852,LGA,DCA,0,0
MQ,THUR,1053,LGA,DCA,0,0
MQ,THUR,1258,LGA,DCA,0,0
MQ,THUR,1402,LGA,DCA,0,0
MQ,THUR,1456,LGA,DCA,0,0
UA,THUR,850,LGA,IAD,0,0
US,THUR,657,LGA,DCA,0,0
US,THUR,857,LGA,DCA,0,0
US,THUR,1058,LGA,DCA,0,0
US,THUR,1258,LGA,DCA,0,0
US,THUR,1458,LGA,DCA,0,0
US,THUR,1655,LGA,DCA,0,0
US,THUR,1855,LGA,DCA,0,0
US,THUR,2056,LGA,DCA,0,0
RU,THUR,1715,EWR,BWI,0,0
RU,THUR,1030,EWR,BWI,0,0
RU,THUR,656,EWR,BWI,0,0
RU,THUR,1456,EWR,BWI,0,0
CO,THUR,1727,EWR,DCA,0,0
CO,THUR,1301,EWR,DCA,0,0
CO,THUR,754,EWR,DCA,0,0
DH,THUR,837,EWR,IAD,0,0
DH,THUR,1350,EWR,IAD,0,1
DH,THUR,1512,EWR,IAD,0,1
DH,THUR,629,EWR,IAD,0,0
RU,THUR,1625,EWR,DCA,0,0
RU,THUR,655,EWR,IAD,0,0
RU,THUR,858,EWR,DCA,0,0
RU,THUR,657,EWR,DCA,0,0
RU,THUR,1650,EWR,IAD,0,0
RU,THUR,1856,EWR,IAD,0,0
RU,THUR,1253,EWR,IAD,0,0
RU,THUR,854,EWR,IAD,0,0
RU,THUR,1858,EWR,DCA,0,0
RU,THUR,2050,EWR,DCA,0,0
RU,THUR,1358,EWR,DCA,0,0
RU,THUR,1510,EWR,IAD,0,1
RU,THUR,1519,EWR,DCA,0,0
DH,FRI,1243,LGA,IAD,0,0
DH,FRI,1738,LGA,IAD,0,0
DH,FRI,640,LGA,IAD,0,0
DH,FRI,1030,LGA,IAD,0,0
DH,FRI,855,JFK,IAD,0,0
DH,FRI,1237,JFK,IAD,0,0
DH,FRI,1455,JFK,IAD,0,0
DH,FRI,1654,JFK,IAD,0,0
DH,FRI,1741,JFK,IAD,0,0
DH,FRI,2213,JFK,IAD,0,1
DH,FRI,1604,JFK,IAD,0,0
DH,FRI,2138,LGA,IAD,0,0
DL,FRI,1505,JFK,DCA,0,1
DL,FRI,828,LGA,DCA,0,0
DL,FRI,1030,LGA,DCA,0,0
DL,FRI,1230,LGA,DCA,0,0
DL,FRI,1428,LGA,DCA,0,0
DL,FRI,1629,LGA,DCA,0,0
DL,FRI,1829,LGA,DCA,0,0
DL,FRI,2024,LGA,DCA,0,0
MQ,FRI,1600,JFK,DCA,0,1
MQ,FRI,555,JFK,DCA,0,0
MQ,FRI,1829,JFK,DCA,0,0
MQ,FRI,855,LGA,DCA,0,0
MQ,FRI,1254,LGA,DCA,0,0
UA,FRI,849,LGA,IAD,0,0
US,FRI,655,LGA,DCA,0,0
US,FRI,858,LGA,DCA,0,0
US,FRI,1059,LGA,DCA,0,0
US,FRI,1256,LGA,DCA,0,0
US,FRI,1500,LGA,DCA,0,0
US,FRI,1658,LGA,DCA,0,0
US,FRI,1857,LGA,DCA,0,0
RU,FRI,1714,EWR,BWI,0,0
RU,FRI,655,EWR,BWI,0,0
RU,FRI,1026,EWR,BWI,0,0
RU,FRI,1448,EWR,BWI,0,0
CO,FRI,1255,EWR,DCA,0,0
DH,FRI,857,EWR,IAD,0,1
DH,FRI,1705,EWR,IAD,0,0
DH,FRI,1329,EWR,IAD,0,1
DH,FRI,2126,EWR,IAD,0,0
DH,FRI,625,EWR,IAD,0,0
RU,FRI,1722,EWR,IAD,0,0
RU,FRI,1356,EWR,DCA,0,0
RU,FRI,658,EWR,IAD,0,0
RU,FRI,941,EWR,DCA,0,0
RU,FRI,1738,EWR,DCA,0,0
RU,FRI,1556,EWR,DCA,0,0
RU,FRI,1511,EWR,IAD,0,0
RU,FRI,703,EWR,DCA,0,0
OH,SAT,1605,JFK,BWI,0,1
DH,SAT,1644,JFK,DCA,0,0
DH,SAT,1249,LGA,IAD,0,0
DH,SAT,1535,LGA,IAD,0,1
DH,SAT,1837,LGA,IAD,0,1
DH,SAT,640,LGA,IAD,0,0
DH,SAT,1032,LGA,IAD,0,0
DH,SAT,900,JFK,IAD,0,0
DH,SAT,1243,JFK,IAD,0,0
DH,SAT,1504,JFK,IAD,0,0
DH,SAT,1642,JFK,IAD,0,0
DH,SAT,1709,JFK,IAD,0,0
DH,SAT,2120,JFK,IAD,0,0
DH,SAT,1607,JFK,IAD,0,0
DH,SAT,2116,LGA,IAD,0,0
DL,SAT,1500,JFK,DCA,0,0
DL,SAT,828,LGA,DCA,0,0
DL,SAT,1028,LGA,DCA,0,0
DL,SAT,1230,LGA,DCA,0,0
DL,SAT,1432,LGA,DCA,0,0
DL,SAT,1629,LGA,DCA,0,0
DL,SAT,1832,LGA,DCA,0,0
DL,SAT,2030,LGA,DCA,0,0
MQ,SAT,1534,JFK,DCA,0,1
MQ,SAT,554,JFK,DCA,0,0
MQ,SAT,745,JFK,DCA,0,0
MQ,SAT,1858,JFK,DCA,0,1
MQ,SAT,1257,LGA,DCA,0,0
MQ,SAT,1458,LGA,DCA,0,1
MQ,SAT,1659,LGA,DCA,0,0
MQ,SAT,1936,LGA,DCA,0,1
UA,SAT,849,LGA,IAD,0,0
US,SAT,858,LGA,DCA,0,0
US,SAT,954,LGA,DCA,0,0
US,SAT,1055,LGA,DCA,0,0
US,SAT,1158,LGA,DCA,0,0
US,SAT,1257,LGA,DCA,0,0
US,SAT,1359,LGA,DCA,0,0
US,SAT,1456,LGA,DCA,0,0
US,SAT,1559,LGA,DCA,0,0
US,SAT,1658,LGA,DCA,0,0
US,SAT,1758,LGA,DCA,0,0
US,SAT,1857,LGA,DCA,0,0
US,SAT,1957,LGA,DCA,0,0
US,SAT,2059,LGA,DCA,0,0
RU,SAT,1615,EWR,BWI,0,1
RU,SAT,1416,EWR,BWI,0,1
RU,SAT,2030,EWR,BWI,0,1
RU,SAT,1235,EWR,BWI,0,1
CO,SAT,1255,EWR,DCA,0,0
CO,SAT,1833,EWR,DCA,0,1
DH,SAT,857,EWR,IAD,0,0
DH,SAT,1917,EWR,IAD,0,1
DH,SAT,1310,EWR,IAD,0,1
DH,SAT,2221,EWR,IAD,0,1
DH,SAT,1600,EWR,IAD,0,1
RU,SAT,1952,EWR,DCA,0,1
RU,SAT,927,EWR,DCA,0,0
RU,SAT,858,EWR,IAD,0,0
RU,SAT,2110,EWR,IAD,0,1
RU,SAT,1356,EWR,DCA,0,1
RU,SAT,2120,EWR,DCA,0,1
RU,SAT,1557,EWR,IAD,0,1
OH,SUN,1610,JFK,BWI,0,1
DH,SUN,1638,JFK,DCA,0,1
DH,SUN,1338,LGA,IAD,0,1
DH,SUN,1606,LGA,IAD,0,1
DH,SUN,1848,LGA,IAD,0,1
DH,SUN,633,LGA,IAD,0,1
DH,SUN,1054,LGA,IAD,0,0
DH,SUN,946,JFK,IAD,0,1
DH,SUN,1312,JFK,IAD,0,1
DH,SUN,1700,JFK,IAD,0,0
DH,SUN,1709,JFK,IAD,0,0
DH,SUN,2200,JFK,IAD,0,1
DH,SUN,1651,JFK,IAD,0,1
DH,SUN,2125,LGA,IAD,0,0
DL,SUN,1459,JFK,DCA,0,0
DL,SUN,630,LGA,DCA,0,0
DL,SUN,734,LGA,DCA,0,0
DL,SUN,830,LGA,DCA,0,0
DL,SUN,932,LGA,DCA,0,0
DL,SUN,1031,LGA,DCA,0,0
DL,SUN,1128,LGA,DCA,0,0
DL,SUN,1230,LGA,DCA,0,0
DL,SUN,1329,LGA,DCA,0,0
DL,SUN,1427,LGA,DCA,0,0
DL,SUN,1635,LGA,DCA,0,0
DL,SUN,1730,LGA,DCA,0,0
DL,SUN,1829,LGA,DCA,0,0
DL,SUN,1955,LGA,DCA,0,1
DL,SUN,2028,LGA,DCA,0,0
MQ,SUN,1538,JFK,DCA,0,0
MQ,SUN,557,JFK,DCA,0,0
MQ,SUN,656,LGA,DCA,0,0
MQ,SUN,758,LGA,DCA,0,0
MQ,SUN,859,LGA,DCA,0,0
MQ,SUN,1103,LGA,DCA,0,0
MQ,SUN,1250,LGA,DCA,0,0
MQ,SUN,1627,LGA,DCA,0,1
MQ,SUN,1702,LGA,DCA,0,0
MQ,SUN,1949,LGA,DCA,0,1
UA,SUN,848,LGA,IAD,0,0
US,SUN,627,LGA,DCA,0,1
US,SUN,657,LGA,DCA,0,0
US,SUN,757,LGA,DCA,0,0
US,SUN,900,LGA,DCA,0,0
US,SUN,958,LGA,DCA,0,0
US,SUN,1057,LGA,DCA,0,0
US,SUN,1155,LGA,DCA,0,0
US,SUN,1257,LGA,DCA,0,0
US,SUN,1358,LGA,DCA,0,0
US,SUN,1500,LGA,DCA,0,0
US,SUN,1601,LGA,DCA,0,0
US,SUN,1657,LGA,DCA,0,0
US,SUN,1757,LGA,DCA,0,0
US,SUN,1857,LGA,DCA,0,0
US,SUN,1959,LGA,DCA,0,0
US,SUN,2100,LGA,DCA,0,0
RU,SUN,744,EWR,BWI,0,1
RU,SUN,1527,EWR,BWI,0,1
RU,SUN,1221,EWR,BWI,0,1
CO,SUN,1324,EWR,DCA,0,1
CO,SUN,757,EWR,DCA,0,0
CO,SUN,1846,EWR,DCA,0,1
DH,SUN,844,EWR,IAD,0,0
DH,SUN,1920,EWR,IAD,0,1
DH,SUN,1357,EWR,IAD,0,1
DH,SUN,2312,EWR,IAD,0,1
DH,SUN,1536,EWR,IAD,0,1
DH,SUN,624,EWR,IAD,0,0
RU,SUN,700,EWR,DCA,0,0
RU,SUN,1056,EWR,DCA,0,1
RU,SUN,1321,EWR,IAD,0,1
RU,SUN,2105,EWR,DCA,0,0
RU,SUN,655,EWR,IAD,0,0
RU,SUN,1454,EWR,DCA,0,1
RU,SUN,2104,EWR,DCA,0,1
RU,SUN,1602,EWR,IAD,0,1
RU,SUN,855,EWR,IAD,0,0
RU,SUN,1617,EWR,DCA,0,1
OH,MON,1455,JFK,BWI,0,0
DH,MON,1240,LGA,IAD,0,0
DH,MON,1451,LGA,IAD,0,0
DH,MON,1752,LGA,IAD,0,0
DH,MON,635,LGA,IAD,0,0
DH,MON,1034,LGA,IAD,0,0
DH,MON,855,JFK,IAD,0,0
DH,MON,1237,JFK,IAD,0,0
DH,MON,1453,JFK,IAD,0,0
DH,MON,1641,JFK,IAD,0,0
DH,MON,1756,JFK,IAD,0,1
DH,MON,2153,JFK,IAD,0,1
DH,MON,1607,JFK,IAD,0,0
DH,MON,2118,LGA,IAD,0,0
DL,MON,1457,JFK,DCA,0,0
DL,MON,629,LGA,DCA,0,0
DL,MON,728,LGA,DCA,0,0
DL,MON,829,LGA,DCA,0,0
DL,MON,930,LGA,DCA,0,0
DL,MON,1030,LGA,DCA,0,0
DL,MON,1130,LGA,DCA,0,0
DL,MON,1230,LGA,DCA,0,0
DL,MON,1327,LGA,DCA,0,0
DL,MON,1428,LGA,DCA,0,0
DL,MON,1529,LGA,DCA,0,0
DL,MON,1629,LGA,DCA,0,0
DL,MON,1728,LGA,DCA,0,0
DL,MON,1830,LGA,DCA,0,0
DL,MON,1929,LGA,DCA,0,0
DL,MON,2031,LGA,DCA,0,0
MQ,MON,1548,JFK,DCA,0,0
MQ,MON,558,JFK,DCA,0,0
MQ,MON,1843,JFK,DCA,0,0
MQ,MON,655,LGA,DCA,0,0
MQ,MON,817,LGA,DCA,0,0
MQ,MON,852,LGA,DCA,0,0
MQ,MON,1100,LGA,DCA,0,0
MQ,MON,1313,LGA,DCA,0,0
MQ,MON,1355,LGA,DCA,0,0
MQ,MON,1535,LGA,DCA,0,1
MQ,MON,1555,LGA,DCA,0,0
MQ,MON,1654,LGA,DCA,0,0
MQ,MON,1904,LGA,DCA,0,0
UA,MON,850,LGA,IAD,0,0
US,MON,629,LGA,DCA,0,0
US,MON,657,LGA,DCA,0,0
US,MON,758,LGA,DCA,0,0
US,MON,858,LGA,DCA,0,0
US,MON,1000,LGA,DCA,0,0
US,MON,1056,LGA,DCA,0,0
US,MON,1158,LGA,DCA,0,0
US,MON,1259,LGA,DCA,0,0
US,MON,1357,LGA,DCA,0,0
US,MON,1458,LGA,DCA,0,0
US,MON,1557,LGA,DCA,0,0
US,MON,1657,LGA,DCA,0,0
US,MON,1758,LGA,DCA,0,0
US,MON,1855,LGA,DCA,0,0
US,MON,1958,LGA,DCA,0,0
US,MON,2104,LGA,DCA,0,0
RU,MON,1451,EWR,BWI,0,0
RU,MON,1729,EWR,BWI,0,1
RU,MON,658,EWR,BWI,0,0
RU,MON,1037,EWR,BWI,0,0
CO,MON,1740,EWR,DCA,0,1
CO,MON,1256,EWR,DCA,0,0
CO,MON,1856,EWR,DCA,0,1
CO,MON,727,EWR,DCA,0,0
DH,MON,847,EWR,IAD,0,0
DH,MON,1705,EWR,IAD,0,0
DH,MON,1236,EWR,IAD,0,0
DH,MON,2118,EWR,IAD,0,0
DH,MON,1435,EWR,IAD,0,0
DH,MON,622,EWR,IAD,0,0
RU,MON,2222,EWR,DCA,0,1
RU,MON,859,EWR,DCA,0,0
RU,MON,1901,EWR,IAD,0,1
RU,MON,1457,EWR,IAD,0,0
RU,MON,656,EWR,IAD,0,0
RU,MON,1644,EWR,DCA,0,1
RU,MON,1253,EWR,IAD,0,0
RU,MON,1356,EWR,DCA,0,0
RU,MON,1656,EWR,IAD,0,0
RU,MON,1627,EWR,DCA,0,0
RU,MON,644,EWR,DCA,0,0
OH,TUE,1455,JFK,BWI,0,0
DH,TUE,1639,JFK,DCA,0,0
DH,TUE,1306,LGA,IAD,0,0
DH,TUE,1445,LGA,IAD,0,0
DH,TUE,1813,LGA,IAD,0,1
DH,TUE,640,LGA,IAD,0,0
DH,TUE,1038,LGA,IAD,0,0
DH,TUE,831,JFK,IAD,0,0
DH,TUE,1240,JFK,IAD,0,0
DH,TUE,1521,JFK,IAD,0,0
DH,TUE,1638,JFK,IAD,0,0
DH,TUE,1922,JFK,IAD,0,1
DH,TUE,2120,JFK,IAD,0,0
DH,TUE,1606,JFK,IAD,0,0
DL,TUE,1501,JFK,DCA,0,0
DL,TUE,631,LGA,DCA,0,0
DL,TUE,831,LGA,DCA,0,0
DL,TUE,932,LGA,DCA,0,0
DL,TUE,1030,LGA,DCA,0,0
DL,TUE,1131,LGA,DCA,0,0
DL,TUE,1231,LGA,DCA,0,0
DL,TUE,1329,LGA,DCA,0,0
DL,TUE,1430,LGA,DCA,0,0
DL,TUE,1528,LGA,DCA,0,0
DL,TUE,1629,LGA,DCA,0,0
DL,TUE,1728,LGA,DCA,0,0
DL,TUE,1828,LGA,DCA,0,0
DL,TUE,1927,LGA,DCA,0,0
DL,TUE,2030,LGA,DCA,0,0
MQ,TUE,1530,JFK,DCA,0,0
MQ,TUE,555,JFK,DCA,0,0
MQ,TUE,1918,JFK,DCA,0,1
MQ,TUE,655,LGA,DCA,0,0
MQ,TUE,746,LGA,DCA,0,0
MQ,TUE,854,LGA,DCA,0,0
MQ,TUE,1056,LGA,DCA,0,0
MQ,TUE,1256,LGA,DCA,0,0
MQ,TUE,1352,LGA,DCA,0,0
MQ,TUE,1457,LGA,DCA,0,1
MQ,TUE,1624,LGA,DCA,0,1
MQ,TUE,2014,LGA,DCA,0,1
UA,TUE,849,LGA,IAD,0,0
US,TUE,628,LGA,DCA,0,0
US,TUE,658,LGA,DCA,0,0
US,TUE,757,LGA,DCA,0,0
US,TUE,857,LGA,DCA,0,0
US,TUE,956,LGA,DCA,0,0
US,TUE,1058,LGA,DCA,0,0
US,TUE,1157,LGA,DCA,0,0
US,TUE,1256,LGA,DCA,0,0
US,TUE,1354,LGA,DCA,0,0
US,TUE,1457,LGA,DCA,0,1
US,TUE,1600,LGA,DCA,0,1
US,TUE,1656,LGA,DCA,0,0
US,TUE,1758,LGA,DCA,0,0
US,TUE,1859,LGA,DCA,0,0
US,TUE,1959,LGA,DCA,0,1
US,TUE,2054,LGA,DCA,0,0
RU,TUE,659,EWR,BWI,0,0
RU,TUE,1459,EWR,BWI,0,0
RU,TUE,1920,EWR,BWI,0,1
RU,TUE,1044,EWR,BWI,0,1
CO,TUE,1255,EWR,DCA,0,0
CO,TUE,1948,EWR,DCA,0,1
CO,TUE,1813,EWR,DCA,0,1
CO,TUE,728,EWR,DCA,0,0
DH,TUE,840,EWR,IAD,0,0
DH,TUE,1725,EWR,IAD,0,0
DH,TUE,1320,EWR,IAD,0,1
DH,TUE,2117,EWR,IAD,0,0
DH,TUE,624,EWR,IAD,0,0
DH,TUE,1439,EWR,IAD,0,0
RU,TUE,1352,EWR,DCA,0,0
RU,TUE,731,EWR,IAD,0,1
RU,TUE,1457,EWR,IAD,0,1
RU,TUE,856,EWR,DCA,0,0
RU,TUE,1254,EWR,IAD,0,0
RU,TUE,1654,EWR,IAD,0,0
RU,TUE,1955,EWR,IAD,0,1
RU,TUE,641,EWR,DCA,0,0
RU,TUE,2058,EWR,DCA,0,0
RU,TUE,1521,EWR,DCA,0,0
RU,TUE,1629,EWR,DCA,0,0
OH,WED,1455,JFK,BWI,0,0
DH,WED,1640,JFK,DCA,0,1
DH,WED,1245,LGA,IAD,0,0
DH,WED,1706,LGA,IAD,0,1
DH,WED,1710,LGA,IAD,0,1
DH,WED,2151,LGA,IAD,0,1
DH,WED,648,LGA,IAD,0,0
DH,WED,1036,LGA,IAD,0,0
DH,WED,852,JFK,IAD,0,0
DH,WED,1237,JFK,IAD,0,0
DH,WED,1449,JFK,IAD,0,0
DH,WED,1639,JFK,IAD,0,0
DH,WED,1714,JFK,IAD,0,0
DH,WED,2135,JFK,IAD,0,0
DH,WED,1609,JFK,IAD,0,0
DL,WED,1601,JFK,DCA,0,1
DL,WED,628,LGA,DCA,0,0
DL,WED,728,LGA,DCA,0,0
DL,WED,828,LGA,DCA,0,0
DL,WED,931,LGA,DCA,0,0
DL,WED,1030,LGA,DCA,0,0
DL,WED,1129,LGA,DCA,0,0
DL,WED,1231,LGA,DCA,0,0
DL,WED,1328,LGA,DCA,0,0
DL,WED,1430,LGA,DCA,0,0
DL,WED,1533,LGA,DCA,0,0
DL,WED,1630,LGA,DCA,0,0
DL,WED,1731,LGA,DCA,0,0
DL,WED,1833,LGA,DCA,0,0
DL,WED,1928,LGA,DCA,0,0
DL,WED,2027,LGA,DCA,0,0
MQ,WED,1524,JFK,DCA,0,0
MQ,WED,552,JFK,DCA,0,0
MQ,WED,1844,JFK,DCA,0,0
MQ,WED,722,LGA,DCA,0,0
MQ,WED,759,LGA,DCA,0,0
MQ,WED,856,LGA,DCA,0,0
MQ,WED,1050,LGA,DCA,0,0
MQ,WED,1256,LGA,DCA,0,0
MQ,WED,1353,LGA,DCA,0,0
MQ,WED,1457,LGA,DCA,0,0
MQ,WED,1557,LGA,DCA,0,0
MQ,WED,1852,LGA,DCA,0,0
UA,WED,848,LGA,IAD,0,0
US,WED,627,LGA,DCA,0,0
US,WED,658,LGA,DCA,0,0
US,WED,756,LGA,DCA,0,0
US,WED,856,LGA,DCA,0,0
US,WED,958,LGA,DCA,0,0
US,WED,1057,LGA,DCA,0,0
US,WED,1157,LGA,DCA,0,0
US,WED,1259,LGA,DCA,0,0
US,WED,1408,LGA,DCA,0,0
US,WED,1457,LGA,DCA,0,0
US,WED,1557,LGA,DCA,0,0
US,WED,1733,LGA,DCA,0,1
US,WED,1758,LGA,DCA,0,0
US,WED,1916,LGA,DCA,0,1
US,WED,2031,LGA,DCA,0,1
US,WED,2059,LGA,DCA,0,0
RU,WED,1739,EWR,BWI,0,0
RU,WED,1456,EWR,BWI,0,0
RU,WED,1026,EWR,BWI,0,0
RU,WED,655,EWR,BWI,0,0
CO,WED,1728,EWR,DCA,0,0
CO,WED,734,EWR,DCA,0,0
CO,WED,1255,EWR,DCA,0,0
CO,WED,1854,EWR,DCA,0,0
DH,WED,838,EWR,IAD,0,0
DH,WED,1706,EWR,IAD,0,0
DH,WED,1241,EWR,IAD,0,0
DH,WED,2120,EWR,IAD,0,0
DH,WED,622,EWR,IAD,0,0
DH,WED,1421,EWR,IAD,0,0
RU,WED,1452,EWR,IAD,0,0
RU,WED,1857,EWR,IAD,0,0
RU,WED,1255,EWR,IAD,0,0
RU,WED,1625,EWR,DCA,0,0
RU,WED,654,EWR,DCA,0,1
RU,WED,1354,EWR,DCA,0,0
RU,WED,707,EWR,IAD,0,0
RU,WED,1700,EWR,IAD,0,0
RU,WED,857,EWR,DCA,0,0
RU,WED,2051,EWR,DCA,0,0
RU,WED,1527,EWR,DCA,0,0
OH,THUR,1455,JFK,BWI,0,0
DH,THUR,1634,JFK,DCA,0,0
DH,THUR,1257,LGA,IAD,0,0
DH,THUR,1608,LGA,IAD,0,1
DH,THUR,2106,LGA,IAD,0,1
DH,THUR,2134,LGA,IAD,0,0
DH,THUR,714,LGA,IAD,0,1
DH,THUR,1106,LGA,IAD,0,0
DH,THUR,836,JFK,IAD,0,1
DH,THUR,1235,JFK,IAD,0,0
DH,THUR,1454,JFK,IAD,0,0
DH,THUR,1643,JFK,IAD,0,0
DH,THUR,1710,JFK,IAD,0,0
DH,THUR,2115,JFK,IAD,0,0
DH,THUR,1617,JFK,IAD,0,0
DL,THUR,1506,JFK,DCA,0,0
DL,THUR,629,LGA,DCA,0,0
DL,THUR,730,LGA,DCA,0,1
DL,THUR,832,LGA,DCA,0,0
DL,THUR,930,LGA,DCA,0,0
DL,THUR,1032,LGA,DCA,0,0
DL,THUR,1131,LGA,DCA,0,0
DL,THUR,1228,LGA,DCA,0,0
DL,THUR,1329,LGA,DCA,0,0
DL,THUR,1432,LGA,DCA,0,0
DL,THUR,1530,LGA,DCA,0,0
DL,THUR,1633,LGA,DCA,0,0
DL,THUR,1735,LGA,DCA,0,0
DL,THUR,1829,LGA,DCA,0,0
DL,THUR,1931,LGA,DCA,0,0
DL,THUR,2030,LGA,DCA,0,0
MQ,THUR,1535,JFK,DCA,0,0
MQ,THUR,558,JFK,DCA,0,0
MQ,THUR,1851,JFK,DCA,0,1
MQ,THUR,843,LGA,DCA,0,1
MQ,THUR,851,LGA,DCA,0,0
MQ,THUR,1141,LGA,DCA,0,1
MQ,THUR,1252,LGA,DCA,0,0
MQ,THUR,1359,LGA,DCA,0,0
MQ,THUR,1503,LGA,DCA,0,0
MQ,THUR,1618,LGA,DCA,0,1
MQ,THUR,1658,LGA,DCA,0,0
MQ,THUR,1916,LGA,DCA,0,1
UA,THUR,904,LGA,IAD,0,1
US,THUR,629,LGA,DCA,0,0
US,THUR,657,LGA,DCA,0,0
US,THUR,756,LGA,DCA,0,0
US,THUR,958,LGA,DCA,0,0
US,THUR,1057,LGA,DCA,0,0
US,THUR,1155,LGA,DCA,0,0
US,THUR,1259,LGA,DCA,0,0
US,THUR,1357,LGA,DCA,0,0
US,THUR,1458,LGA,DCA,0,0
US,THUR,1555,LGA,DCA,0,0
US,THUR,1657,LGA,DCA,0,0
US,THUR,1757,LGA,DCA,0,0
US,THUR,1902,LGA,DCA,0,0
US,THUR,1956,LGA,DCA,0,0
US,THUR,2052,LGA,DCA,0,0
RU,THUR,1720,EWR,BWI,0,0
RU,THUR,1450,EWR,BWI,0,0
RU,THUR,1108,EWR,BWI,0,1
RU,THUR,700,EWR,BWI,0,0
CO,THUR,1727,EWR,DCA,0,0
CO,THUR,1858,EWR,DCA,0,0
CO,THUR,1258,EWR,DCA,0,0
CO,THUR,732,EWR,DCA,0,0
DH,THUR,840,EWR,IAD,0,0
DH,THUR,1707,EWR,IAD,0,0
DH,THUR,1242,EWR,IAD,0,0
DH,THUR,2121,EWR,IAD,0,0
DH,THUR,629,EWR,IAD,0,0
DH,THUR,1423,EWR,IAD,0,0
RU,THUR,1627,EWR,DCA,0,0
RU,THUR,1526,EWR,DCA,0,0
RU,THUR,1357,EWR,DCA,0,0
RU,THUR,700,EWR,IAD,0,1
RU,THUR,1256,EWR,IAD,0,0
RU,THUR,1855,EWR,IAD,0,0
RU,THUR,1457,EWR,IAD,0,0
RU,THUR,850,EWR,DCA,0,0
RU,THUR,2058,EWR,DCA,0,0
RU,THUR,1655,EWR,IAD,0,0
RU,THUR,645,EWR,DCA,0,0
OH,FRI,1455,JFK,BWI,0,0
DH,FRI,1638,JFK,DCA,0,1
DH,FRI,1243,LGA,IAD,0,0
DH,FRI,1710,LGA,IAD,0,0
DH,FRI,2130,LGA,IAD,0,0
DH,FRI,918,JFK,IAD,0,1
DH,FRI,1303,JFK,IAD,0,1
DH,FRI,1642,JFK,IAD,0,0
DH,FRI,1708,JFK,IAD,0,0
DH,FRI,2126,JFK,IAD,0,0
DH,FRI,1800,JFK,IAD,0,0
